Rank	Word	Frequency	Length
1253	FACTS	64155.4	5
1254	DARE	64055	4
1255	GROW	64005.1	4
1257	HUNG	63988.5	4
1258	RAIN	63905.4	4
1259	FALSE	63861.1	5
1260	TALL	63854.8	4
1261	GATE	63851.6	4
1267	FREELY	63711.6	6
1268	HOLY	63709.2	4
1270	BLOW	63577.9	4
1271	JULY	63558.1	4
1274	REPORT	63492.5	6
1275	COAST	63479.8	5
1276	DAILY	63422.8	5
1277	FILE	63420.5	4
1280	FACES	63252.7	5
1282	BIRDS	63162.6	5
1284	ROYAL	63124.6	5
1285	SONG	63090.6	4
1286	WEALTH	63067.6	6
1288	FAILED	63013	6
1291	ANYONE	62941.8	6
1293	GENTLE	62856.4	6
1294	SURELY	62831.1	6
1296	WAITED	62808.1	6
1297	SECURE	62770.9	6
1299	GRASS	62726.6	5
1302	DRAW	62587.4	4
1303	STAGE	62536	5
1307	JUNE	62288.3	4
1309	FISH	62138	4
1310	TONGUE	62119.8	6
1312	ANGRY	61966.4	5
1314	SERVED	61954.5	6
1317	BREAST	61786	6
1319	SNOW	61384.9	4
1320	DAVID	61377.8	5
1321	PAPERS	61338.2	6
1324	CLAIM	61248	5
1325	HAST	61220.3	4
1327	SHARP	61096.9	5
1328	PRINCE	60998.8	6
1330	GROUP	60983	5
1332	ROBERT	60967.2	6
1333	PLAYED	60926	6
1335	PITY	60858	4
1337	YOURS	60770.2	5
1340	PRAY	60553.4	4
1341	TAUGHT	60553.4	6
1343	TIRED	60525.7	5
1345	KILL	60435.5	4
1346	SHADOW	60402.3	6
1348	WEIGHT	60339.8	6
1349	MASS	60298.6	4
1352	GRAY	60200.5	4
1353	BRAVE	60085	5
1354	THIN	60068.4	4
1356	CHECK	60002	5
1357	VIRTUE	59979	6
1358	GOLDEN	59969.5	6
1361	FAMOUS	59843	6
1364	ALIVE	59632.5	5
1365	WATERS	59569.2	6
1367	WEAK	59510.7	4
1368	DIVINE	59479.8	6
1373	FRANK	59180.8	5
1374	VALLEY	59172.1	6
1375	GUESS	59171.3	5
1377	YELLOW	59051.8	6
1378	HEAT	58979.8	4
1380	BENT	58939.5	4
1381	SEIZED	58899.1	6
1382	GUARD	58892.8	5
1387	GODS	58789.2	4
1388	MOON	58760.7	4
1389	SLIGHT	58710.8	6
1390	STYLE	58699.8	5
1392	SAVED	58632.5	5
1395	LOUIS	58498.8	5
1396	POUNDS	58458.5	6
1397	AIN'T	58451.3	5
1406	PAUL	58106.4	4
1407	SEASON	58088.2	6
1410	TENDER	57959.3	6
1411	WORKED	57946.6	6
1412	GROWN	57772.6	5
1416	MIDST	57518.6	5
1417	LIKED	57509.9	5
1420	BORE	57458.5	4
1422	ACTIVE	57449	6
1424	AWARE	57388.9	5
1425	THOMAS	57341.4	6
1426	UNCLE	57326.4	5
1427	LIST	57295.5	4
1429	AUGUST	57283.6	6
1430	CALM	57251.2	4
1431	GENIUS	57225.1	6
1432	SACRED	57211.6	6
1434	ENTIRE	57187.9	6
1437	NICE	57038.4	4
1438	HABIT	57035.2	5
1441	READER	56832.7	6
1443	DIRECT	56755.2	6
1445	YOU'LL	56740.1	6
1446	JOINED	56737	6
1448	KINGS	56630.2	5
1450	POSTED	56561.3	6
1454	NEEDED	56455.3	6
1457	TWICE	55893.6	5
1458	THROW	55850.1	5
1461	WISDOM	55827.2	6
1462	CEASED	55810.5	6
1463	TRULY	55776.5	5
1466	PRIEST	55667.3	6
1468	SORROW	55657.1	6
1469	DRIVE	55626.2	5
1470	FAULT	55610.4	5
1472	PALACE	55599.3	6
1473	AFFAIR	55588.2	6
1477	BEAT	55452.9	4
1480	LISTEN	55400.7	6
1481	ITALY	55327.9	5
1482	FOOL	55324	4
1485	HURT	55227.5	4
1486	WANTS	55209.3	5
1489	FAVOUR	55161.8	6
1490	HEIGHT	55161.8	6
1491	SIZE	55123	4
1492	EDGE	55074.8	4
1494	TASK	54999.6	4
1497	NINE	54922.9	4
1499	BURST	54920.5	5
1502	LIFTED	54796.3	6
1503	HOPES	54772.6	5
1504	SUFFER	54764.7	6
1505	NOISE	54731.4	5
1507	RODE	54627.8	4
1508	TELLS	54559	5
1509	MINDS	54524.9	5
1512	VESSEL	54407.9	6
1516	FLESH	54333.5	5
1517	ADVICE	54172.9	6
1518	GRAND	54172.9	5
1520	LEGS	54149.2	4
1521	SPAIN	54147.6	5
1522	POST	54054.2	4
1524	EMPTY	54020.2	5
1525	RANK	54009.9	4
1526	STORM	54009.1	5
1527	GOD'S	53975.9	5
1529	WORE	53915	4
1530	DUTIES	53904.7	6
1533	POCKET	53783.7	6
1536	DRIVEN	53753.6	6
1537	LOUD	53742.5	4
1539	LOVELY	53673.7	6
1543	HAPPEN	53527.3	6
1547	THANK	53413.4	5
1548	RULES	53386.5	5
1550	SERIES	53157.9	6
1553	RELIEF	53061.3	6
1554	BIRD	52958.5	4
1555	OWNER	52920.5	5
1558	COAT	52869.9	4
1561	SHAPE	52710.9	5
1562	BIRTH	52703	5
1564	SMOKE	52676.9	5
1572	MOVING	52512.3	6
1573	STANDS	52512.3	6
1574	WHOLLY	52482.2	6
1575	TEETH	52449	5
1576	BUSY	52407.1	4
1579	SHAME	52312.9	5
1583	INSIDE	52123.1	6
1584	BRAIN	52105.7	5
1585	SOIL	52100.9	4
1588	RING	52000.4	4
1591	PHRASE	51940.3	6
1592	ACTS	51907.1	4
1594	SQUARE	51832.7	6
1595	PAIR	51818.5	4
1597	TITLE	51777.3	5
1599	SUNDAY	51687.9	6
1600	FRUIT	51674.5	5
1602	FORCES	51593.8	6
1605	ROCKS	51540	5
1606	NEARER	51456.1	6
1607	SLAVES	51427.7	6
1610	SLOW	51380.2	4
1612	MERCY	51306.6	5
1613	LARGER	51297.9	6
1616	GRIEF	51205.3	5
1618	WASN'T	51135.7	6
1624	PRAYER	50987.8	6
1625	STARS	50977.5	5
1627	BELIEF	50725.9	6
1630	POETRY	50673.7	6
1633	FINAL	50604.9	5
1635	RIDE	50551.9	4
1636	POLICY	50464.8	6
1637	SUPPER	50460.9	6
1640	DYING	50335.1	5
1641	DEMAND	50257.6	6
1643	FIELDS	50201.4	6
1644	DROVE	50184.8	5
1645	UPPER	50168.2	5
1647	PHILIP	49999.7	6
1648	MOTION	49955.4	6
1650	FORTY	49903.1	5
1651	APRIL	49899.2	5
1652	STONES	49887.3	6
1653	EDWARD	49840.6	6
1654	FEES	49820.1	4
1655	KINDLY	49809.8	6
1657	CATCH	49718.8	5
1659	SEATED	49654.7	6
1660	KNEES	49642.1	5
1666	GAINED	49550.3	6
1667	BITTER	49544.8	6
1669	SLAVE	49489.4	5
1671	LOOSE	49427.7	5
1672	TEXT	49423.7	4
1674	WORST	49369.1	5
1675	SOLD	49339.1	4
1677	CREDIT	49262.3	6
1678	CHOSEN	49225.9	6
1679	HOPED	49174.5	5
1681	TERROR	49161.1	6
1683	FOND	49101.7	4
1688	FIRM	48962.5	4
1690	CRUEL	48839.1	5
1692	HARRY	48809	5
1694	PROOF	48702.2	5
1696	SOONER	48619.1	6
1697	JOIN	48614.4	4
1699	CRIME	48528.9	5
1700	DUST	48502.8	4
1702	LANDS	48475.9	5
1704	DOORS	48413.4	5
1706	DEEPLY	48404.7	6
1708	COLOUR	48371.5	6
1709	SING	48331.2	4
1711	ANGER	48238.6	5
1716	NOSE	48059.8	4
1719	ROOMS	47962.5	5
1720	ADMIT	47956.2	5
1721	SUPPLY	47924.5	6
1722	CLEAN	47921.3	5
1723	USEFUL	47849.4	6
1726	FAIL	47778.1	4
1728	REMOVE	47699	6
1730	CHOICE	47671.3	6
1731	HUGE	47619.9	4
1732	NEEDS	47619.1	5
1733	WEAR	47608.8	4
1734	BLIND	47599.4	5
1735	UNABLE	47589.1	6
1736	COVER	47574	5
1737	DOUBLE	47550.3	6
1739	DOZEN	47519.4	5
1741	LEVEL	47487.8	5
1742	INDIA	47392.1	5
1744	ROUGH	47332.7	5
1745	ENDED	47325.6	5
1746	SHOWS	47324	5
1748	PRAISE	47267.9	6
1749	DEVIL	47254.4	5
1750	AHEAD	47194.3	5
1751	SMITH	47190.3	5
1754	GAIN	47094.6	4
1758	NOTES	47051.9	5
1762	BOUGHT	46854.1	6
1763	SOULS	46847	5
1766	CITIES	46797.1	6
